ID;Name;Coordinates
3022608;Creissels;44.08564, 3.06163
3028680;Capvern;43.1022, 0.31651
3034921;Barjac;44.30841, 4.34774
2968066;Vinassan;43.20443, 3.07463
2968545;Villeneuve-lès-Avignon;43.96773, 4.79258
2971693;Trie-sur-Baïse;43.32114, 0.37064
2975244;Seissan;43.49161, 0.59185
2975387;Sébazac-Concourès;44.40484, 2.60324
2978918;Saint-Laurent-des-Arbres;44.05469, 4.69976
2979657;Saint-Girons;42.98491, 1.14587
2980045;Saint-Gaudens;43.10813, 0.72318
2981183;Saint-Chinian;43.42207, 2.94655
2981825;Saint-Amans-Soult;43.4775, 2.48712
2982628;Rouffiac-Tolosan;43.66576, 1.52521
2983154;Rodez;44.35258, 2.57338
2983786;Reynès;42.47702, 2.7068
2984643;Quissac;43.91073, 4.00102
2984969;Puygouzon;43.89882, 2.1697
2986248;Pont-de-Larn;43.50447, 2.40582
2987439;Pezens;43.25446, 2.26868
2988082;Pennautier;43.24577, 2.31882
2989108;Ossun;43.18393, -0.02662
2991390;Moussac;43.98244, 4.22863
2992661;Montesquiu d'Albera;42.51798, 2.88243
2993002;Montauban;44.01759, 1.3542
2993320;Monestiés;44.07105, 2.09677
2997812;Lombez;43.47543, 0.91039
3002537;Le Poujol-sur-Orb;43.57954, 3.06044
3003610;Le Malzieu-Ville;44.8556, 3.33013
3005983;Laure-Minervois;43.27136, 2.52008
3012109;Juillan;43.20072, 0.02326
3016714;Ganges;43.93419, 3.70797
3023602;Corneilhan;43.39962, 3.19238
3028048;Cazes-Mondenard;44.22726, 1.2018
3028050;Cazères;43.20718, 1.08578
3031205;Boujan-sur-Libron;43.37082, 3.24749
3034170;Beaumont-de-Lomagne;43.88303, 0.98768
3035204;Balma;43.61111, 1.49944
3035441;Bagard;44.07281, 4.05137
3035802;Auzeville-Tolosane;43.52822, 1.48321
3036097;Aumont-Aubrac;44.72237, 3.28385
3038224;Alès;44.12489, 4.08082
3038427;Aimargues;43.68536, 4.20774
3038638;Agde;43.31083, 3.47583
2968504;Villenouvelle;43.43568, 1.66281
2968575;Villeneuve;44.43729, 2.03148
2968755;Villefranche-de-Rouergue;44.35166, 2.03702
2971137;Valady;44.45633, 2.42746
2973392;Tarascon-sur-Ariège;42.8471, 1.6056
2975674;Sauve;43.94208, 3.94935
2976375;Salles-Curan;44.18274, 2.78714
2977926;Saint-Nazaire;42.66743, 2.99134
2979995;Saint-Geniez-d'Olt;44.46559, 2.9736
2981788;Sant Andreu de Sureda;42.55201, 2.97129
2981810;Saint-Ambroix;44.26059, 4.19817
2988043;Pépieux;43.29755, 2.67825
2990890;Naucelle;44.19796, 2.3417
2992654;Montesquieu-Volvestre;43.20814, 1.23008
2993717;Mireval;43.5086, 3.8017
2998132;L'Isle-en-Dodon;43.38153, 0.83526
2998445;Lieuran-lès-Béziers;43.41869, 3.23686
3011250;Labastide-Saint-Pierre;43.91887, 1.36736
3012921;Ibos;43.23339, 0.00123
3013462;Hérépian;43.5936, 3.11439
3014477;Gruissan;43.10759, 3.08651
3016073;Gignac;43.65207, 3.55096
3018174;Foix;42.96535, 1.60705
3021682;Daux;43.69506, 1.26892
3023294;Couiza;42.94299, 2.2555
3023599;Corneilla-la-Rivière;42.69736, 2.73007
3027927;Cépet;43.74979, 1.43089
3028263;Castres;43.60527, 2.24088
3028337;Castelnau-le-Lez;43.63605, 3.90137
3029107;Calmont;44.24883, 2.51201
3030542;Branoux-les-Taillades;44.22056, 3.99019
3030640;Bozouls;44.47202, 2.72534
3030983;la Guingueta d'Ix;42.43416, 1.94391
3032469;Blagnac;43.63675, 1.38971
3033565;Belpech;43.19817, 1.75201
3033698;Bellegarde;43.75401, 4.51372
3033959;Beauvoisin;43.71869, 4.32298
2969781;Verniolle;43.08175, 1.64803
2973626;Sussargues;43.7125, 4.0031
2975191;Sémalens;43.5914, 2.11002
2975649;Sauvian;43.29308, 3.2576
2977918;Saint-Nazaire-d'Aude;43.24451, 2.89441
2980163;Saint-Féliu-d'Avall;42.68168, 2.73814
2986460;Pollestres;42.63799, 2.86736
2988309;Pavie;43.61011, 0.58871
2988922;Ouveillan;43.28858, 2.97029
2989308;Orleix;43.27945, 0.12043
2993523;Molières-sur-Cèze;44.25995, 4.15855
2994298;Merville;43.72354, 1.29656
2996236;Manduel;43.81855, 4.47247
2999649;Les Salles-du-Gardon;44.20675, 4.03469
3005060;Le Bousquet-d'Orb;43.6925, 3.16595
3006121;Lattes;43.56775, 3.90279
3009289;Lafrançaise;44.1276, 1.24049
3016645;Gardouch;43.39073, 1.68406
3016956;Frontignan;43.44775, 3.75524
3022956;Coursan;43.2337, 3.05712
3028152;Cauterets;42.8892, -0.11412
3031848;Bompas;42.73099, 2.93325
3035370;Baillargues;43.66126, 4.01283
3035416;Bagnères-de-Luchon;42.79079, 0.59341
